2015.02.25 10:26:55.608 | CPU ?? RAM 34 | INFO     | Thread 7120  | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.25 10:26:55.609 | CPU ?? RAM 34 | INFO     | Thread 7120  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.25 10:26:56.533 | CPU ?? RAM 35 | INFO     | Thread 6520  | InGaAs               | InGaAs initializing  | 
2015.02.25 10:26:56.533 | CPU ?? RAM 35 | INFO     | Thread 6520  | InGaAs               | InGaAs initializing  | 
2015.02.25 10:26:56.535 | CPU ?? RAM 35 | INFO     | Thread 8176  | daq                  | DAQ initializing     | 
2015.02.25 10:26:56.904 | CPU ?? RAM 35 | INFO     | Thread 264   | MicroHR              | MicroHR initializing | 
2015.02.25 10:26:56.914 | CPU ?? RAM 35 | INFO     | Thread 7120  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.25 10:27:12.184 | CPU 43 RAM 35 | INFO     | Thread 7120  | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.25 10:27:12.188 | CPU 43 RAM 35 | INFO     | Thread 7120  | InGaAs               | InGaAs shutdown      | 
2015.02.25 10:27:12.197 | CPU 43 RAM 35 | INFO     | Thread 7120  | daq                  | DAQ shutdown         | 
2015.02.25 10:27:12.226 | CPU 43 RAM 35 | INFO     | Thread 7120  | MicroHR              | MicroHR shutdown     | 
2015.02.25 10:27:22.233 | CPU 43 RAM 35 | WARNING  | Thread 7120  | MicroHR              | Wait until done timed out | timeout set to 10 seconds
